,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,kex_algo,node
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T01:04:08.392603408Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T02:04:08.702764085Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T02:04:08.724115294Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:04:09.510187433Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:04:09.536398923Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T04:04:13.994022283Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T04:04:14.020436721Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T05:04:15.173274895Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T05:04:15.198615994Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T07:04:18.140467112Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T07:04:18.159452266Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T08:04:19.411319206Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T08:04:19.433248382Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T09:04:19.563492329Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T09:04:19.585078598Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T10:04:19.901814507Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T10:04:19.924226809Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T11:04:20.578779922Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T11:04:20.598040033Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
