,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,kex_algo,node,phase
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T16:01:35.824340793Z,178,hs_req_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T17:01:36.519804787Z,178,hs_req_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T18:01:37.114322311Z,178,hs_req_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T19:01:37.859276127Z,178,hs_req_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T20:01:38.53342519Z,178,hs_req_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T21:01:38.88550351Z,178,hs_req_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T22:01:39.740132416Z,178,hs_req_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T23:01:40.459327441Z,178,hs_req_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:15.579629482Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T00:01:16.175706337Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T01:01:16.818220998Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T02:01:17.453763903Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
