time,node,metric,value
2026-07-20T23:15:33.020077362Z,CC8DA20CDB50,humidity,62.0
2026-07-20T23:15:38.011608961Z,CC8DA20CDB50,humidity,60.9
2026-07-20T23:15:38.034352372Z,CC8DA20CDB50,humidity,60.9
2026-07-20T23:15:43.012598463Z,CC8DA20CDB50,humidity,61.6
2026-07-20T23:15:43.033080387Z,CC8DA20CDB50,humidity,61.6
2026-07-20T23:15:48.042711766Z,CC8DA20CDB50,humidity,57.4
2026-07-20T23:15:48.062080503Z,CC8DA20CDB50,humidity,57.4
2026-07-20T23:15:53.002118784Z,CC8DA20CDB50,humidity,59.1
2026-07-20T23:15:53.026500114Z,CC8DA20CDB50,humidity,59.1
2026-07-20T23:15:58.004558512Z,CC8DA20CDB50,humidity,57.3
2026-07-20T23:15:58.038937475Z,CC8DA20CDB50,humidity,57.3
2026-07-20T23:16:03.001140698Z,CC8DA20CDB50,humidity,62.1
2026-07-20T23:16:03.022085042Z,CC8DA20CDB50,humidity,62.1
2026-07-20T23:16:08.008454916Z,CC8DA20CDB50,humidity,58.9
2026-07-20T23:16:08.032823951Z,CC8DA20CDB50,humidity,58.9
2026-07-20T23:16:13.017297133Z,CC8DA20CDB50,humidity,58.2
2026-07-20T23:16:13.038649082Z,CC8DA20CDB50,humidity,58.2
2026-07-20T23:16:18.010649002Z,CC8DA20CDB50,humidity,58.4
2026-07-20T23:16:18.038594059Z,CC8DA20CDB50,humidity,58.4
2026-07-20T23:16:23.003028074Z,CC8DA20CDB50,humidity,60.7
2026-07-20T23:16:23.028936623Z,CC8DA20CDB50,humidity,60.7
2026-07-20T23:16:28.006449765Z,CC8DA20CDB50,humidity,63.0
2026-07-20T23:16:28.031042093Z,CC8DA20CDB50,humidity,63.0
2026-07-20T23:16:33.007818673Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:16:33.034784133Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:16:38.234517773Z,CC8DA20CDB50,humidity,59.6
2026-07-20T23:16:38.255255398Z,CC8DA20CDB50,humidity,59.6
2026-07-20T23:16:43.232703806Z,CC8DA20CDB50,humidity,59.6
2026-07-20T23:16:43.252364817Z,CC8DA20CDB50,humidity,59.6
2026-07-20T23:16:48.253351108Z,CC8DA20CDB50,humidity,60.7
2026-07-20T23:16:48.28037853Z,CC8DA20CDB50,humidity,60.7
2026-07-20T23:16:53.2784077Z,CC8DA20CDB50,humidity,60.6
2026-07-20T23:16:53.299547356Z,CC8DA20CDB50,humidity,60.6
2026-07-20T23:16:58.238106595Z,CC8DA20CDB50,humidity,60.1
2026-07-20T23:16:58.257567183Z,CC8DA20CDB50,humidity,60.1
2026-07-20T23:17:03.236849721Z,CC8DA20CDB50,humidity,60.4
2026-07-20T23:17:03.2615324Z,CC8DA20CDB50,humidity,60.4
2026-07-20T23:17:08.242093866Z,CC8DA20CDB50,humidity,61.5
2026-07-20T23:17:08.274078828Z,CC8DA20CDB50,humidity,61.5
2026-07-20T23:17:13.296254359Z,CC8DA20CDB50,humidity,58.4
2026-07-20T23:17:13.314645684Z,CC8DA20CDB50,humidity,58.4
2026-07-20T23:17:18.239384299Z,CC8DA20CDB50,humidity,57.9
2026-07-20T23:17:18.259365435Z,CC8DA20CDB50,humidity,57.9
2026-07-20T23:17:23.248564764Z,CC8DA20CDB50,humidity,59.7
2026-07-20T23:17:23.268671823Z,CC8DA20CDB50,humidity,59.7
2026-07-20T23:17:28.244752937Z,CC8DA20CDB50,humidity,60.2
2026-07-20T23:17:28.265575339Z,CC8DA20CDB50,humidity,60.2
2026-07-20T23:17:33.239850314Z,CC8DA20CDB50,humidity,57.8
2026-07-20T23:17:33.263909835Z,CC8DA20CDB50,humidity,57.8
2026-07-20T23:17:38.250626502Z,CC8DA20CDB50,humidity,61.8
2026-07-20T23:17:38.282240432Z,CC8DA20CDB50,humidity,61.8
2026-07-20T23:17:43.263220685Z,CC8DA20CDB50,humidity,58.9
2026-07-20T23:17:43.281326014Z,CC8DA20CDB50,humidity,58.9
2026-07-20T23:17:48.256355318Z,CC8DA20CDB50,humidity,61.2
2026-07-20T23:17:48.275546076Z,CC8DA20CDB50,humidity,61.2
2026-07-20T23:17:53.291071868Z,CC8DA20CDB50,humidity,60.5
2026-07-20T23:17:53.314716543Z,CC8DA20CDB50,humidity,60.5
2026-07-20T23:17:58.258479638Z,CC8DA20CDB50,humidity,57.9
2026-07-20T23:17:58.282692324Z,CC8DA20CDB50,humidity,57.9
2026-07-20T23:18:03.247312803Z,CC8DA20CDB50,humidity,60.4
2026-07-20T23:18:03.296130335Z,CC8DA20CDB50,humidity,60.4
2026-07-20T23:18:08.24827896Z,CC8DA20CDB50,humidity,62.1
2026-07-20T23:18:08.268279873Z,CC8DA20CDB50,humidity,62.1
2026-07-20T23:18:13.247670715Z,CC8DA20CDB50,humidity,60.6
2026-07-20T23:18:13.270517921Z,CC8DA20CDB50,humidity,60.6
2026-07-20T23:18:18.260883791Z,CC8DA20CDB50,humidity,58.8
2026-07-20T23:18:18.286488438Z,CC8DA20CDB50,humidity,58.8
2026-07-20T23:18:23.386127853Z,CC8DA20CDB50,humidity,58.5
2026-07-20T23:18:23.404952098Z,CC8DA20CDB50,humidity,58.5
2026-07-20T23:18:28.387380772Z,CC8DA20CDB50,humidity,58.7
2026-07-20T23:18:28.407044412Z,CC8DA20CDB50,humidity,58.7
2026-07-20T23:18:33.381849649Z,CC8DA20CDB50,humidity,62.6
2026-07-20T23:18:33.401219212Z,CC8DA20CDB50,humidity,62.6
2026-07-20T23:18:38.389101344Z,CC8DA20CDB50,humidity,61.4
2026-07-20T23:18:38.414143896Z,CC8DA20CDB50,humidity,61.4
2026-07-20T23:18:43.381298339Z,CC8DA20CDB50,humidity,62.1
2026-07-20T23:18:43.403332751Z,CC8DA20CDB50,humidity,62.1
2026-07-20T23:18:48.381996096Z,CC8DA20CDB50,humidity,59.6
2026-07-20T23:18:48.401423046Z,CC8DA20CDB50,humidity,59.6
2026-07-20T23:18:53.385435664Z,CC8DA20CDB50,humidity,60.0
2026-07-20T23:18:53.413665613Z,CC8DA20CDB50,humidity,60.0
2026-07-20T23:18:58.381697839Z,CC8DA20CDB50,humidity,57.8
2026-07-20T23:18:58.400510448Z,CC8DA20CDB50,humidity,57.8
2026-07-20T23:19:03.406457108Z,CC8DA20CDB50,humidity,57.0
2026-07-20T23:19:03.425893596Z,CC8DA20CDB50,humidity,57.0
2026-07-20T23:19:08.388858694Z,CC8DA20CDB50,humidity,59.9
2026-07-20T23:19:08.41115125Z,CC8DA20CDB50,humidity,59.9
2026-07-20T23:19:13.677879543Z,CC8DA20CDB50,humidity,62.8
2026-07-20T23:19:13.697439474Z,CC8DA20CDB50,humidity,62.8
2026-07-20T23:19:18.628103034Z,CC8DA20CDB50,humidity,62.4
2026-07-20T23:19:18.650227278Z,CC8DA20CDB50,humidity,62.4
2026-07-20T23:19:23.631915651Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:19:23.660321858Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:19:28.635038686Z,CC8DA20CDB50,humidity,61.5
2026-07-20T23:19:28.656892249Z,CC8DA20CDB50,humidity,61.5
2026-07-20T23:19:33.632776743Z,CC8DA20CDB50,humidity,61.3
2026-07-20T23:19:33.657620022Z,CC8DA20CDB50,humidity,61.3
2026-07-20T23:19:38.634068191Z,CC8DA20CDB50,humidity,58.5
2026-07-20T23:19:38.650078397Z,CC8DA20CDB50,humidity,58.5
2026-07-20T23:19:43.687046313Z,CC8DA20CDB50,humidity,62.0
2026-07-20T23:19:43.711062456Z,CC8DA20CDB50,humidity,62.0
2026-07-20T23:19:48.636416901Z,CC8DA20CDB50,humidity,60.5
2026-07-20T23:19:48.664587982Z,CC8DA20CDB50,humidity,60.5
2026-07-20T23:19:53.626537825Z,CC8DA20CDB50,humidity,57.4
2026-07-20T23:19:53.653289149Z,CC8DA20CDB50,humidity,57.4
2026-07-20T23:19:58.892081819Z,CC8DA20CDB50,humidity,58.4
2026-07-20T23:19:58.91212528Z,CC8DA20CDB50,humidity,58.4
2026-07-20T23:20:03.636974737Z,CC8DA20CDB50,humidity,61.7
2026-07-20T23:20:03.657964703Z,CC8DA20CDB50,humidity,61.7
2026-07-20T23:20:08.653273895Z,CC8DA20CDB50,humidity,61.8
2026-07-20T23:20:08.677883455Z,CC8DA20CDB50,humidity,61.8
2026-07-20T23:20:13.645754442Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:20:13.668239997Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:20:18.684487985Z,CC8DA20CDB50,humidity,57.5
2026-07-20T23:20:18.702972599Z,CC8DA20CDB50,humidity,57.5
2026-07-20T23:20:23.646195595Z,CC8DA20CDB50,humidity,62.8
2026-07-20T23:20:23.67014435Z,CC8DA20CDB50,humidity,62.8
2026-07-20T23:20:28.653205103Z,CC8DA20CDB50,humidity,61.0
